 num;                                                              Material;     source;       CAS ID;  MM_gmol;     Tc/K;      Pc/MPa;  Dc/kgm3;  Acentric; k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm
  64;                                             Dodecamethylpentasiloxane;    REFPROP;     141-63-9; 384.8390;  628.960;    0.961120;  269.387;  0.723000;    523.44321;    566.13986;    499.50000;  0.91100
  65;                                           Tetradecamethylhexasiloxane;    REFPROP;     107-52-8; 458.9933;  653.200;    0.840370;  261.626;  0.806000;    619.53788;    682.14260;    518.70000;  0.97600
  66;                                                 Octamethyltrisiloxane;    REFPROP;     107-51-7; 236.5315;  565.361;    1.437500;  268.227;  0.524000;    329.26816;    348.22923;    447.94000;  0.77040
  67;                                                      Monoethanolamine;    REFPROP;     141-43-5;  61.0831;  671.400;    8.125000;  329.238;  0.573000;     83.81052;    111.96696;    533.15000;  0.46140
  68;                                                               Methane;    REFPROP;      74-82-8;  16.0428;  190.564;    4.599200;  162.658;  0.011420;     35.70847;      3.30566;    174.00000;  0.36652
  69;                                                              Methanol;    REFPROP;      67-56-1;  32.0422;  512.600;    8.103500;  275.563;  0.562500;     44.02095;     39.66758;    481.80000;  0.36260
  70;                                                           MILPRF23699;    REFPROP;        1-1-1; 557.6000;  930.000;    1.080000;  244.786;  0.970000;    737.53872;   1315.89034;    738.50550;  1.06443
  71;                                                      Methyl linoleate;    REFPROP;     112-63-0; 294.4721;  799.000;    1.341000;  238.051;  0.805000;    432.04014;    699.45625;    634.50000;  0.87000
  72;                                                     Methyl linolenate;    REFPROP;     301-00-8; 292.4562;  772.000;    1.369000;  247.798;  1.140000;    418.99510;    667.04970;    613.04000;  0.85490
  73;                                                  Hexamethyldisiloxane;    REFPROP;     107-46-0; 162.3768;  518.700;    1.931130;  268.409;  0.418000;    238.35747;    229.93482;    357.00000;  0.71900
  74;                                                         Methyl oleate;    REFPROP;     112-62-9; 296.4879;  782.000;    1.246000;  241.000;  0.906000;    445.20457;    710.53071;    621.00000;  0.87000
  75;                                                      Methyl palmitate;    REFPROP;     112-39-0; 270.4507;  755.000;    1.350000;  242.594;  0.910000;      0.00000;      0.00000;    599.54000;  0.83880
  76;                                                       Methyl stearate;    REFPROP;     112-61-8; 298.5038;  775.000;    1.239000;  237.102;  1.020000;      0.00000;      0.00000;    615.42000;  0.87350
  77;                                                              m-Xylene;    REFPROP;     108-38-3; 106.1650;  616.890;    3.534600;  282.930;  0.326000;    125.57422;    217.71044;    489.87000;  0.58000
  78;                                                         Nitrous oxide;    REFPROP;   10024-97-2;  44.0128;  309.520;    7.245000;  452.012;  0.162000;     38.58598;     14.36985;    232.40000;  0.38280
  79;                                                                  Neon;    REFPROP;    7440-01-9;  20.1790;   44.400;    2.661630;  486.314; -0.035500;     20.78615;     -0.00000;     45.58000;  0.27070
  80;                                                            Neopentane;    REFPROP;     463-82-1;  72.1488;  433.740;    3.196000;  235.927;  0.196100;    120.91625;    149.60604;    255.65000;  0.64640
  81;                                                  Nitrogen trifluoride;    REFPROP;    7783-54-2;  71.0190;  234.000;    4.460700;  562.471;  0.126000;     53.38676;     25.22494;    175.00000;  0.41540
  82;                                                              Nitrogen;    REFPROP;    7727-37-9;  28.0135;  126.192;    3.395800;  313.300;  0.037200;     29.12527;      0.01354;    100.01650;  0.36502
  83;                                                                Nonane;    REFPROP;     111-84-2; 128.2551;  594.550;    2.281000;  232.142;  0.443300;    210.41142;    314.39729;    472.12700;  0.66383
  84;                                     Dodecafluoro-2-methylpentan-3-one;    REFPROP;     756-13-8; 316.0444;  441.810;    1.869000;  606.805;  0.471000;    271.79689;    134.72856;    350.80000;  0.65090
  85;                                                                Octane;    REFPROP;     111-65-9; 114.2285;  568.740;    2.483590;  231.999;  0.398000;    189.05755;    269.50776;    452.09000;  0.63617
  86;                                                         Orthohydrogen;    REFPROP;   1333-74-0o;   2.0159;   33.220;    1.310650;   31.136; -0.218000;      0.00000;      0.00000;      0.00000;  0.00000
  87;                                                                Oxygen;    REFPROP;    7782-44-7;  31.9988;  154.581;    5.043000;  436.144;  0.022200;     29.37593;      0.23479;    116.20000;  0.34319
  88;                                                              o-Xylene;    REFPROP;      95-47-6; 106.1650;  630.259;    3.737500;  285.000;  0.312000;    131.34292;    220.34746;    500.48000;  0.58200
  89;                                                          Parahydrogen;    REFPROP;   1333-74-0p;   2.0159;   32.938;    1.285800;   31.323; -0.219000;     29.94532;      1.02193;     59.70000;  0.28270
  90;                                                               Pentane;    REFPROP;     109-66-0;  72.1488;  469.700;    3.367500;  231.598;  0.251000;    120.12675;    148.14506;    349.44000;  0.57900
  91;                                       Pentaerythritol tetrapentanoate;    REFPROP;   15834-04-5; 472.6120;  890.000;    1.270000;  262.772;  0.890000;    597.85711;   1124.31659;    706.74180;  0.98380
  92;                                       Pentaerythritol tetraheptanoate;    REFPROP;   25811-35-2; 584.8350;  940.000;    1.030000;  240.952;  1.060000;    790.17028;   2055.40077;    746.44640;  1.08719
  93;                                        Pentaerythritol tetranonanoate;    REFPROP;   14450-05-6; 697.0510;  970.000;    0.885000;  220.268;  0.998000;    978.60973;   2899.61757;    770.26920;  1.18770
  94;                                                            Propadiene;    REFPROP;     463-49-0;  40.0639;  398.000;    5.215600;  236.377;  0.115000;     58.92854;     53.11456;    316.00000;  0.44770
  95;                                                               Propane;    REFPROP;      74-98-6;  44.0956;  369.890;    4.251200;  220.478;  0.152100;     73.33611;     73.51008;    263.88000;  0.49748
  96;                                                             Propylene;    REFPROP;     115-07-1;  42.0797;  364.211;    4.555000;  229.629;  0.146000;     64.39905;     57.19382;    298.90000;  0.46780
  97;                                                       Propylene oxide;    REFPROP;      75-56-9;  58.0791;  488.110;    5.436600;  299.398;  0.249000;     73.01935;     93.56114;    387.60000;  0.46830
  98;                                                               Propyne;    REFPROP;      74-99-7;  40.0639;  402.380;    5.626000;  244.922;  0.204000;     60.66144;     47.78500;    251.80000;  0.47610
  99;                                                              p-Xylene;    REFPROP;     106-42-3; 106.1650;  616.168;    3.531500;  286.000;  0.324000;    126.23080;    220.45606;    489.30000;  0.58130
 100;                                                                  R-11;    REFPROP;      75-69-4; 137.3680;  471.110;    4.407640;  554.000;  0.188750;     78.61887;     39.78993;    363.60900;  0.54470
 101;                                                     trifluoroethylene;    REFPROP;     359-11-5;  82.0246;  331.730;    4.542600;  492.147;  0.261000;     68.98755;     44.33555;    263.40000;  0.44520
 102;                                                                 R-113;    REFPROP;      76-13-1; 187.3750;  487.210;    3.392200;  560.000;  0.252530;    121.43759;     76.09293;    376.03500;  0.60190
 103;                                                                 R-114;    REFPROP;      76-14-2; 170.9210;  418.830;    3.257000;  579.969;  0.252300;    118.01190;     71.92986;    174.00000;  0.64800
 104;                                                                 R-115;    REFPROP;      76-15-3; 154.4664;  353.100;    3.129000;  614.776;  0.248000;    110.14344;     72.66410;    201.90000;  0.58760
 105;                                                                 R-116;    REFPROP;      76-16-4; 138.0118;  293.030;    3.048000;  613.324;  0.256600;    106.41436;     66.61134;    226.16000;  0.52490
 106;                                                                  R-12;    REFPROP;      75-71-8; 120.9130;  385.120;    4.136100;  565.000;  0.179480;     72.87299;     41.21573;    297.24000;  0.51860
 107;                                                     Hexafluoropropene;    REFPROP;     116-15-4; 150.0225;  358.900;    3.149530;  583.408;  0.333000;    120.42232;     84.16495;    285.00000;  0.51440
 108;                                                           R-1224yd(Z);    REFPROP;  111512-60-8; 148.4867;  428.690;    3.337000;  527.128;  0.322000;    112.46933;     79.58102;    340.42000;  0.53000
 109;                                                                 R-123;    REFPROP;     306-83-2; 152.9310;  456.831;    3.661800;  550.004;  0.281920;    102.58447;     73.73158;    275.16000;  0.59090
 110;                                                           R-1233zd(E);    REFPROP;  102687-65-0; 130.4962;  439.600;    3.623700;  480.226;  0.302500;    104.02056;     76.48014;    349.08000;  0.52400
 111;                                                              R-1234yf;    REFPROP;     754-12-1; 114.0416;  367.850;    3.382200;  475.553;  0.276000;    101.47491;     78.61409;    281.14000;  0.53280
 112;                                                           R-1234ze(E);    REFPROP;   29118-24-9; 114.0416;  382.513;    3.634900;  489.238;  0.313000;     99.64741;     66.64963;    303.80000;  0.50000
 113;                                                           R-1234ze(Z);    REFPROP;   29118-25-0; 114.0416;  423.270;    3.530600;  456.166;  0.327000;     93.77882;     87.47095;    336.11000;  0.50960
 114;                                                                 R-124;    REFPROP;    2837-89-0; 136.4762;  395.425;    3.624300;  560.000;  0.288100;     99.04806;     73.32141;    275.80000;  0.55010
 115;                                                3,3,3-trifluoropropene;    REFPROP;     677-21-4;  96.0511;  376.930;    3.517900;  413.020;  0.260400;     89.38093;     81.51882;    299.30000;  0.49750
 116;                                                                 R-125;    REFPROP;     354-33-6; 120.0214;  339.173;    3.617700;  573.582;  0.305200;     94.42852;     64.20839;    237.07700;  0.52350
 117;                                                                  R-13;    REFPROP;      75-72-9; 104.4590;  302.000;    3.879000;  582.881;  0.172300;     66.77588;     38.36406;    204.00000;  0.49710
 118;                                   (Z)-1,1,1,4,4,4-Hexafluoro-2-butene;    REFPROP;     692-49-9; 164.0560;  444.500;    2.903000;  499.387;  0.386000;    137.91041;    117.09483;    352.97000;  0.55820
 119;                                                                R-134a;    REFPROP;     811-97-2; 102.0320;  374.210;    4.059280;  511.900;  0.326840;     85.03398;     66.15295;    288.82000;  0.50647
 120;                                                                  R-14;    REFPROP;      75-73-0;  88.0046;  227.510;    3.750000;  625.700;  0.178500;     61.11950;     32.32970;    164.44000;  0.45430
 121;                                                                R-141b;    REFPROP;    1717-00-6; 116.9496;  477.500;    4.212000;  458.560;  0.219500;     88.17009;     71.32045;    370.44000;  0.54930
 122;                                                                R-142b;    REFPROP;      75-68-3; 100.4950;  410.260;    4.055000;  445.997;  0.232100;     83.30106;     67.29839;    278.20000;  0.53620
 123;                                                                R-143a;    REFPROP;     420-46-2;  84.0410;  345.857;    3.761000;  431.000;  0.261500;     78.08227;     59.19446;    301.76000;  0.48270
 124;                                                    1,2-Dichloroethane;    REFPROP;     107-06-2;  98.9592;  561.600;    5.226120;  428.493;  0.268000;     82.16109;     57.62787;    445.96000;  0.49630
 125;                                                                R-152a;    REFPROP;      75-37-6;  66.0510;  386.411;    4.516750;  368.000;  0.275210;     67.47670;     59.05238;    354.84000;  0.46115
 126;                                                          Fluoroethane;    REFPROP;     353-36-6;  48.0595;  375.250;    5.046000;  302.001;  0.220000;     59.61616;     54.11594;    320.39000;  0.44570
 127;                                                                  R-21;    REFPROP;      75-43-4; 102.9227;  451.480;    5.181200;  526.000;  0.206100;     61.03774;     39.79975;    358.60000;  0.46970
 128;                                                                 R-218;    REFPROP;      76-19-7; 188.0193;  345.020;    2.640000;  627.985;  0.317200;    147.99447;    100.35310;    266.35000;  0.58000
 129;                                                                  R-22;    REFPROP;      75-45-6;  86.4680;  369.295;    4.990000;  523.842;  0.220820;     56.17179;     36.74615;    284.72420;  0.46660
 130;                                                               R-227ea;    REFPROP;     431-89-0; 170.0289;  374.900;    2.925000;  594.251;  0.357000;    135.74821;    100.14754;    289.34000;  0.57460
 131;                                                                  R-23;    REFPROP;      75-46-7;  70.0139;  299.293;    4.832000;  526.504;  0.263000;     51.04309;     30.54813;    243.91000;  0.42780
 132;                                                               R-236ea;    REFPROP;     431-63-0; 152.0384;  412.440;    3.420000;  565.000;  0.369000;    128.81702;     92.80118;    318.33000;  0.56040
 133;                                                               R-236fa;    REFPROP;     690-39-1; 152.0384;  398.070;    3.200000;  551.291;  0.377000;    124.59306;     99.99913;    307.24000;  0.56440
 134;                                                               R-245ca;    REFPROP;     679-86-7; 134.0479;  447.570;    3.940700;  525.468;  0.355000;    119.42511;    112.64036;    355.41000;  0.51310
 135;                                                               R-245fa;    REFPROP;     460-73-1; 134.0479;  427.010;    3.651000;  519.436;  0.378300;    115.27886;    100.04741;    259.89000;  0.58489
 136;                                                                  R-32;    REFPROP;      75-10-5;  52.0240;  351.255;    5.782000;  424.000;  0.276900;     42.94171;     27.72588;    289.65000;  0.40980
 137;                                                              R-365mfc;    REFPROP;     406-58-6; 148.0745;  460.000;    3.266000;  473.839;  0.377000;    145.68716;    118.31005;    365.28000;  0.54900
 138;                                                                  R-40;    REFPROP;      74-87-3;  50.4875;  416.300;    6.689900;  363.219;  0.150000;     40.69192;     30.68317;    330.60000;  0.41900
 139;                                                                  R-41;    REFPROP;     593-53-3;  34.0329;  317.280;    5.897000;  316.506;  0.200400;     37.45341;     16.78496;    244.88000;  0.41230
 140;                                                 Octafluorocyclobutane;    REFPROP;     115-25-3; 200.0400;  388.380;    2.777500;  620.000;  0.355300;    156.40076;    115.79494;    308.41000;  0.55490
 141;                                          Methyl trifluoromethyl ether;    REFPROP;     421-14-7; 100.0398;  377.921;    3.635000;  464.999;  0.289000;     91.26837;     68.17772;    300.10400;  0.48470
 142;                                         Methyl pentafluoroethyl ether;    REFPROP;   22410-44-2; 150.0473;  406.813;    2.886400;  499.508;  0.354000;    136.51960;     95.62615;    621.00000;  0.87000
 143;                             2,2,2-trifluoroethyl difluoromethyl ether;    REFPROP;    1885-48-9; 150.0473;  444.880;    3.433000;  515.001;  0.387000;    135.42617;    105.34908;    353.28000;  0.53630
 144;                            1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane;    REFPROP;     375-03-1; 200.0548;  437.700;    2.478200;  528.145;  0.403000;    180.42410;    131.10394;    347.57000;  0.58710
 145;                                                   Sulfur hexafluoride;    REFPROP;    2551-62-4; 146.0554;  318.723;    3.754980;  742.298;  0.218000;     97.06708;     77.17290;    222.10000;  0.51280
 146;                                                        Sulfur dioxide;    REFPROP;    7446-09-5;  64.0638;  430.640;    7.886600;  517.507;  0.256000;     39.88896;     15.15942;    363.00000;  0.40260
 147;                                                        trans-2-Butene;    REFPROP;     624-64-6;  56.1063;  428.610;    4.027300;  236.376;  0.210000;     87.43529;     89.66140;    259.00000;  0.55080
 148;                                                               Toluene;    REFPROP;     108-88-3;  92.1384;  591.750;    4.126300;  291.987;  0.265700;    103.79123;    186.96068;    469.90000;  0.55070
 149;                                                        Vinyl chloride;    REFPROP;      75-01-4;  62.4982;  424.964;    5.590300;  351.240;  0.161000;     53.63243;     47.63897;    337.46000;  0.45500
 150;                                                                 Water;    REFPROP;    7732-18-5;  18.0153;  647.096;   22.064000;  322.000;  0.344300;     33.58733;      5.95116;    809.10000;  0.26410
 151;                                                                 Xenon;    REFPROP;    7440-63-3; 131.2930;  289.733;    5.842000; 1102.861;  0.003630;     20.78615;     -0.00000;    300.00000;  0.32970
 152;                                                 1,1,2-trichloroethane;      DWSIM;      79-00-5; 133.4042;  602.000;    4.480000;  474.748;  0.259135;      0.00000;      0.00000;      0.00000;  0.00000
 153;                                                    1,1-dichloroethane;      DWSIM;      75-34-3;  98.9592;  523.000;    5.100000;  419.318;  0.244000;      0.00000;      0.00000;      0.00000;  0.00000
 154;                                               1,1-dimethylcyclohexane;      DWSIM;     590-66-9; 112.2126;  591.150;    2.938430;  249.361;  0.237600;      0.00000;      0.00000;      0.00000;  0.00000
 155;                                              1,1-dimethylcyclopentane;      DWSIM;    1638-26-2;  98.1861;  547.000;    3.445000;  272.739;  0.272354;      0.00000;      0.00000;      0.00000;  0.00000
 156;                                            1,2,3,4-tetramethylbenzene;      DWSIM;     488-23-3; 134.2182;  690.000;    2.860000;  278.461;  0.417172;      0.00000;      0.00000;      0.00000;  0.00000
 157;                                            1,2,3,5-tetramethylbenzene;      DWSIM;     527-53-7; 134.2182;  679.000;    3.220000;  307.840;  0.459061;      0.00000;      0.00000;      0.00000;  0.00000
 158;                                                1,2,3-trimethylbenzene;      DWSIM;     526-73-8; 120.1916;  664.500;    3.454000;  276.303;  0.367000;      0.00000;      0.00000;      0.00000;  0.00000
 159;                                            1,2,4,5-tetramethylbenzene;      DWSIM;      95-93-2; 134.2182;  676.000;    2.900000;  278.461;  0.423000;      0.00000;      0.00000;      0.00000;  0.00000
 160;                                                1,2,4-trichlorobenzene;      DWSIM;     120-82-1; 181.4470;  725.000;    3.720000;  459.360;  0.358106;      0.00000;      0.00000;      0.00000;  0.00000
 161;                                                1,2,4-trimethylbenzene;      DWSIM;      95-63-6; 120.1916;  649.100;    3.232000;  276.303;  0.377000;      0.00000;      0.00000;      0.00000;  0.00000
 162;                                                         1,2-butadiene;      DWSIM;     590-19-2;  54.0904;  452.000;    4.360000;  245.866;  0.165877;      0.00000;      0.00000;      0.00000;  0.00000
 163;                                                   1,2-dimethoxyethane;      DWSIM;     110-71-4;  90.1210;  536.150;    3.870610;  332.997;  0.347486;      0.00000;      0.00000;      0.00000;  0.00000
 164;                                                       1,2-propanediol;      DWSIM;      57-55-6;  76.0960;  625.000;    6.079500;  321.080;  1.107000;      0.00000;      0.00000;      0.00000;  0.00000
 165;                                                        1,4-butanediol;      DWSIM;     110-63-4;  90.1210;  667.000;    4.880000;  303.438;  1.176960;      0.00000;      0.00000;      0.00000;  0.00000
 166;                                                           1,4-dioxane;      DWSIM;     123-91-1;  88.1051;  587.000;    5.170000;  370.190;  0.279262;      0.00000;      0.00000;      0.00000;  0.00000
 167;                                                 1-Naphthalenemethanol;      DWSIM;    4780-79-4; 158.1965;  783.151;    3.416058;  309.970;  0.762701;      0.00000;      0.00000;      0.00000;  0.00000
