    No;           Material;      Hash;   MM_gmol;   Tr_K;         pr_MPa;     Tc_K;       pc_MPa;   Dc_kgm3; acentric;    k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm; dipom_D; gamma_uni;           xi0;     Gamma;         qDinv;      Tref;                                          FullName
   31;            CYCLOHEX;  6e225350;   84.1595;   279.860;   5.34870e-03;   553.600;   4.08050;  271.3302;  0.209600;     106.29641;     228.04083;  297.1000;   0.61820;    0.3000;    1.2390;    2.3000e-10;    0.0580;    6.6800e-10;   830.400;                                       Cyclohexane
   32;            CYCLOPEN;  43ab1810;   70.1329;   179.700;   8.90000e-06;   511.720;   4.58280;  274.9210;  0.202000;      83.44208;     172.90874;  406.3300;   0.51800;    0.0000;    1.2390;    2.1600e-10;    0.0580;    6.2400e-10;   767.580;                                      Cyclopentane
   33;            CYCLOPRO;  bc9f5400;   42.0810;   145.700;   7.00000e-05;   398.300;   5.57970;  258.4994;  0.130500;      55.59814;      80.65388;  248.9000;   0.48070;    0.0000;    1.2390;    1.9100e-10;    0.0570;    5.3400e-10;   597.450;                                      Cyclopropane
   34;                  D2;  639b18a0;    4.0282;    18.724;   1.71890e-02;    38.340;   1.67960;   69.4059; -0.136000;       0.00000;       0.00000;   39.3000;   0.29480;    0.0000;    1.2415;    1.5000e-10;    0.0520;    4.0000e-10;    57.510;                                         Deuterium
   35;                 D2O;  3e131610;   20.0275;   276.969;   6.61590e-04;   643.847;  21.66180;  356.0000;  0.364000;      34.26128;       9.85409;  809.1000;   0.26410;    1.9000;    1.2390;    1.5000e-10;    0.0000;    0.0000e+00;     0.000;                                   Deuterium oxide
   36;                  D4;  b6895470;  296.6158;   290.250;   7.30700e-05;   586.500;   1.34720;  309.3702;  0.598000;     384.90561;     418.38666;  465.7000;   0.79800;    1.0900;    1.2390;    2.9800e-10;    0.0640;    9.8300e-10;   879.750;                      Octamethylcyclotetrasiloxane
   37;                  D5;  ccbc27e0;  370.7697;   226.000;   2.86000e-09;   618.300;   1.09340;  304.0312;  0.637000;     510.29667;     412.52004;  491.0000;   0.86400;    1.3490;    1.2390;    3.1900e-10;    0.0640;    1.0680e-09;   927.450;                      Decamethylcyclopentasiloxane
   38;                  D6;  1fad29d0;  444.9240;   270.200;   1.59700e-07;   645.780;   0.96100;  279.0957;  0.736000;     566.13575;     612.73043;  512.8000;   0.94500;    1.5590;    1.2390;    3.4100e-10;    0.0720;    1.1700e-09;   968.670;                     Dodecamethylcyclohexasiloxane
   39;                 DEA;  393cd060;  105.1356;   301.100;   1.33960e-07;   736.500;   4.95075;  346.9475;  1.013000;       0.00000;       0.00000;  584.8500;   0.54340;    2.7899;    1.2390;    1.8500e-10;    0.0680;    6.6200e-10;  1104.750;                               2,2'-Iminodiethanol
   40;              DECANE;  111888d0;  142.2817;   243.500;   1.40400e-06;   617.700;   2.10300;  233.3420;  0.488400;     233.02466;     356.55962;  490.5100;   0.68600;    0.0700;    1.2390;    1.9400e-10;    0.0496;    7.0864e-10;   926.550;                                            Decane
