    No;           Material;      Hash;   MM_gmol;   Tr_K;         pr_MPa;     Tc_K;       pc_MPa;   Dc_kgm3; acentric;    k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm; dipom_D; gamma_uni;           xi0;     Gamma;         qDinv;      Tref;                                          FullName
   95;             PROPANE;  70c6aac0;   44.0956;    85.525;   1.72000e-10;   369.890;   4.25120;  220.4781;  0.152100;      73.33611;      73.51008;  263.8800;   0.49748;    0.0840;    1.2390;    1.9400e-10;    0.0496;    7.1663e-10;   554.730;                                           Propane
   96;            PROPYLEN;  56d778b0;   42.0797;    87.953;   7.47100e-10;   364.211;   4.55500;  229.6291;  0.146000;      64.39905;      57.19382;  298.9000;   0.46780;    0.3660;    1.2390;    1.9800e-10;    0.0570;    4.3000e-10;   546.320;                                           Propene
   97;      PROPYLENEOXIDE;  814f4990;   58.0791;   161.244;   1.05528e-06;   488.110;   5.43660;  299.3980;  0.249000;      73.01935;      93.56114;  387.6000;   0.46830;    2.0000;    1.2390;    1.9400e-10;    0.0560;    5.6700e-10;   732.170;                                  1,2-Epoxypropane
   98;             PROPYNE;  3cbb9620;   40.0639;   170.500;   1.86300e-04;   402.380;   5.62600;  244.9224;  0.204000;      60.66144;      47.78500;  251.8000;   0.47610;    0.7810;    1.2390;    1.8600e-10;    0.0580;    5.3500e-10;   603.570;                                           Propyne
   99;             PXYLENE;  01b0e650;  106.1650;   286.400;   5.80000e-04;   616.168;   3.53150;  286.0000;  0.324000;     126.23080;     220.45606;  489.3000;   0.58130;    0.0000;    1.2390;    2.3500e-10;    0.0560;    7.1000e-10;   924.300;                               1,4-Dimethylbenzene
  100;                 R11;  6f9b71e0;  137.3680;   162.680;   6.51000e-06;   471.110;   4.40764;  553.9999;  0.188750;      78.61887;      39.78993;  363.6090;   0.54470;    0.4500;    1.2390;    1.5000e-10;    0.0000;    0.0000e+00;     0.000;                            Trichlorofluoromethane
  101;               R1123;  64555530;   82.0246;   200.000;   4.20000e-02;   331.730;   4.54260;  492.1473;  0.261000;      68.98755;      44.33555;  263.4000;   0.44520;    1.4000;    1.2390;    1.5300e-10;    0.0750;    5.3800e-10;   497.600;                                 Trifluoroethylene
  102;                R113;  d2a09ee0;  187.3750;   236.930;   1.87100e-03;   487.210;   3.39220;  560.0000;  0.252530;     121.43759;      76.09293;  376.0350;   0.60190;    0.8030;    1.2390;    1.9400e-10;    0.0496;    5.0000e-10;   730.800;             1,1,2-Trichloro-1,2,2-trifluoroethane
  103;                R114;  b1698aa0;  170.9210;   180.630;   2.02100e-04;   418.830;   3.25700;  579.9691;  0.252300;     118.01190;      71.92986;  174.0000;   0.64800;    0.6580;    1.2390;    2.2300e-10;    0.0590;    6.5600e-10;   628.250;                                                  
  104;                R115;  f7285250;  154.4664;   173.750;   2.21300e-03;   353.100;   3.12900;  614.7763;  0.248000;     110.14344;      72.66410;  201.9000;   0.58760;    0.5200;    1.2390;    1.9400e-10;    0.0496;    3.7293e-10;   529.650;                           Chloropentafluoroethane
  105;                R116;  04997260;  138.0118;   173.100;   2.60800e-02;   293.030;   3.04800;  613.3245;  0.256600;     106.41436;      66.61134;  226.1600;   0.52490;    0.0000;    1.2390;    1.9400e-10;    0.0496;    5.0000e-10;   439.545;                                  Hexafluoroethane
  106;                 R12;  98829b70;  120.9130;   116.099;   2.42500e-07;   385.120;   4.13610;  565.0000;  0.179480;      72.87299;      41.21573;  297.2400;   0.51860;    0.5100;    1.2390;    1.5000e-10;    0.0000;    0.0000e+00;     0.000;                           Dichlorodifluoromethane
  107;               R1216;  edc3a7b0;  150.0225;   117.654;   9.36000e-08;   358.900;   3.14953;  583.4076;  0.333000;     120.42232;      84.16495;  285.0000;   0.51440;    1.0880;    1.2390;    1.9400e-10;    0.0496;    5.8350e-10;   538.300;                                 Hexafluoropropene
  108;            R1224YDZ;  55d0af00;  148.4867;   263.000;   3.51636e-02;   428.690;   3.33700;  527.1278;  0.322000;     112.46933;      79.58102;  340.4200;   0.53000;    1.4700;    1.2390;    2.1400e-10;    0.0580;    6.4600e-10;   643.040;           (Z)-1-Chloro-2,3,3,3-tetrafluoropropene
  109;                R123;  efdfede0;  152.9310;   166.000;   4.20200e-06;   456.831;   3.66180;  550.0036;  0.281920;     102.58447;      73.73158;  275.1600;   0.59090;    1.3560;    1.2390;    2.1600e-10;    0.0580;    6.4300e-10;   685.250;                2,2-Dichloro-1,1,1-trifluoroethane
  110;            R1233ZDE;  bf17dfe0;  130.4962;   195.150;   2.73300e-04;   439.600;   3.62370;  480.2260;  0.302500;     104.02056;      76.48014;  349.0800;   0.52400;    1.1200;    1.2390;    2.1300e-10;    0.0590;    5.9800e-10;   659.400;          trans-1-Chloro-3,3,3-trifluoro-1-propene
  111;             R1234YF;  40377b40;  114.0416;   122.770;   7.38000e-07;   367.850;   3.38220;  475.5534;  0.276000;     101.47491;      78.61409;  281.1400;   0.53280;    2.4800;    1.2390;    1.9400e-10;    0.0496;    5.8350e-10;   551.775;                     2,3,3,3-Tetrafluoroprop-1-ene
  112;            R1234ZEE;  9905ef70;  114.0416;   169.000;   2.28600e-04;   382.513;   3.63490;  489.2385;  0.313000;      99.64741;      66.64963;  303.8000;   0.50000;    1.2700;    1.2390;    1.9400e-10;    0.0496;    5.8350e-10;   573.780;                  trans-1,3,3,3-Tetrafluoropropene
  113;            R1234ZEZ;  e23fd030;  114.0416;   238.000;   1.19420e-02;   423.270;   3.53060;  456.1664;  0.327000;      93.77882;      87.47095;  336.1100;   0.50960;    2.9000;    1.2390;    2.0600e-10;    0.0550;    6.2000e-10;   634.910;                    cis-1,3,3,3-Tetrafluoropropene
  114;                R124;  36953260;  136.4762;    74.000;   3.22800e-17;   395.425;   3.62430;  560.0000;  0.288100;      99.04806;      73.32141;  275.8000;   0.55010;    1.4690;    1.2390;    1.9400e-10;    0.0496;    5.0000e-10;   593.138;                1-Chloro-1,2,2,2-tetrafluoroethane
  115;             R1243ZF;  86479e20;   96.0511;   200.000;   7.30700e-03;   376.930;   3.51790;  413.0199;  0.260400;      89.38093;      81.51882;  299.3000;   0.49750;    2.4300;    1.2390;    2.0500e-10;    0.0560;    6.0400e-10;   565.400;                            3,3,3-Trifluoropropene
  116;                R125;  25c5a3a0;  120.0214;   172.520;   2.91400e-03;   339.173;   3.61770;  573.5823;  0.305200;      94.42852;      64.20839;  237.0770;   0.52350;    1.5630;    1.2390;    1.9400e-10;    0.0496;    5.8346e-10;   508.748;                                 Pentafluoroethane
  117;                 R13;  126c90a0;  104.4590;    92.000;   3.28800e-07;   302.000;   3.87900;  582.8812;  0.172300;      66.77588;      38.36406;  204.0000;   0.49710;    0.5100;    1.2390;    1.9400e-10;    0.0496;    3.4964e-10;   453.000;                            Chlorotrifluoromethane
  118;           R1336MZZZ;  8da378b0;  164.0560;   182.650;   1.80800e-05;   444.500;   2.90300;  499.3865;  0.386000;     137.91041;     117.09483;  352.9700;   0.55820;    2.9200;    1.2390;    2.2100e-10;    0.0580;    6.8100e-10;   666.750;               (Z)-1,1,1,4,4,4-Hexafluoro-2-butene
  119;               R134A;  ff1c0560;  102.0320;   169.850;   3.89600e-04;   374.210;   4.05928;  511.9000;  0.326840;      85.03398;      66.15295;  288.8200;   0.50647;    2.0580;    1.2390;    1.9400e-10;    0.0496;    5.2854e-10;   561.411;                         1,1,1,2-Tetrafluoroethane
  120;                 R14;  dba9f950;   88.0046;    89.540;   1.01200e-04;   227.510;   3.75000;  625.7000;  0.178500;      61.11950;      32.32970;  164.4400;   0.45430;    0.0000;    1.2390;    1.9400e-10;    0.0496;    2.2657e-10;   341.265;                                Tetrafluoromethane
  121;               R141B;  ba322c10;  116.9496;   169.680;   6.49200e-06;   477.500;   4.21200;  458.5595;  0.219500;      88.17009;      71.32045;  370.4400;   0.54930;    2.0140;    1.2390;    1.9400e-10;    0.0496;    5.0000e-10;   719.940;                       1,1-Dichloro-1-fluoroethane
  122;               R142B;  f2a8b2e0;  100.4950;   142.720;   3.63200e-06;   410.260;   4.05500;  445.9969;  0.232100;      83.30106;      67.29839;  278.2000;   0.53620;    2.1400;    1.2390;    1.9400e-10;    0.0496;    6.1565e-10;   615.390;                       1-Chloro-1,1-difluoroethane
  123;               R143A;  0deae990;   84.0410;   161.340;   1.07490e-03;   345.857;   3.76100;  431.0001;  0.261500;      78.08227;      59.19446;  301.7600;   0.48270;    2.3400;    1.2390;    1.9300e-10;    0.0550;    2.3000e-10;   518.790;                             1,1,1-Trifluoroethane
  124;                R150;  042f81b0;   98.9592;   237.520;   2.40000e-04;   561.600;   5.22612;  428.4933;  0.268000;      82.16109;      57.62787;  445.9600;   0.49630;    1.4400;    1.2390;    2.0400e-10;    0.0560;    6.0300e-10;   842.400;                                1,2-Dichloroethane
  125;               R152A;  63f364b0;   66.0510;   154.560;   6.41300e-05;   386.411;   4.51675;  367.9998;  0.275210;      67.47670;      59.05238;  354.8400;   0.46115;    2.2620;    1.2390;    1.8940e-10;    0.0487;    4.3700e-10;   579.617;                                1,1-Difluoroethane
  126;                R161;  edb53660;   48.0595;   130.000;   5.94100e-06;   375.250;   5.04600;  302.0011;  0.220000;      59.61616;      54.11594;  320.3900;   0.44570;    1.9397;    1.2390;    1.8300e-10;    0.0550;    3.1040e-10;   562.880;                                      Fluoroethane
  127;                 R21;  79ff2f80;  102.9227;   142.800;   6.82800e-08;   451.480;   5.18120;  526.0000;  0.206100;      61.03774;      39.79975;  358.6000;   0.46970;    1.3700;    1.2390;    1.9400e-10;    0.0496;    5.0000e-10;   677.220;                             Dichlorofluoromethane
  128;                R218;  00bd3610;  188.0193;   125.450;   2.01800e-06;   345.020;   2.64000;  627.9846;  0.317200;     147.99447;     100.35310;  266.3500;   0.58000;    0.0000;    1.2390;    2.1900e-10;    0.0610;    6.5900e-10;   517.530;                                 Octafluoropropane
  129;                 R22;  57716470;   86.4680;   115.730;   3.79300e-07;   369.295;   4.99000;  523.8422;  0.220820;      56.17179;      36.74615;  284.7242;   0.46660;    1.4580;    1.2390;    1.5000e-10;    0.0000;    0.0000e+00;     0.000;                             Chlorodifluoromethane
  130;              R227EA;  40091ee0;  170.0289;   146.350;   7.33100e-06;   374.900;   2.92500;  594.2509;  0.357000;     135.74821;     100.14754;  289.3400;   0.57460;    1.4560;    1.2390;    1.9400e-10;    0.0496;    5.0000e-10;   562.327;                  1,1,1,2,3,3,3-Heptafluoropropane
  131;                 R23;  20e26c20;   70.0139;   118.020;   5.80400e-05;   299.293;   4.83200;  526.5042;  0.263000;      51.04309;      30.54813;  243.9100;   0.42780;    1.6490;    1.2390;    1.5000e-10;    0.0000;    0.0000e+00;     0.000;                                  Trifluoromethane
  132;              R236EA;  93fd5d40;  152.0384;   170.000;   2.00000e-05;   412.440;   3.42000;  565.0000;  0.369000;     128.81702;      92.80118;  318.3300;   0.56040;    1.1290;    1.2390;    2.0800e-10;    0.0600;    6.3600e-10;   618.660;                     1,1,1,2,3,3-Hexafluoropropane
  133;              R236FA;  77fa2150;  152.0384;   179.600;   1.60300e-04;   398.070;   3.20000;  551.2912;  0.377000;     124.59306;      99.99913;  307.2400;   0.56440;    1.9820;    1.2390;    2.0900e-10;    0.0600;    6.4100e-10;   597.105;                     1,1,1,3,3,3-Hexafluoropropane
  134;              R245CA;  ead82280;  134.0479;   196.000;   1.18300e-04;   447.570;   3.94070;  525.4679;  0.355000;     119.42511;     112.64036;  355.4100;   0.51310;    1.7400;    1.2390;    2.0500e-10;    0.0600;    6.2400e-10;   671.360;                      1,1,2,2,3-Pentafluoropropane
  135;              R245FA;  5c322280;  134.0479;   170.000;   1.18600e-05;   427.010;   3.65100;  519.4358;  0.378300;     115.27886;     100.04741;  259.8900;   0.58489;    1.5490;    1.2390;    2.0400e-10;    0.0600;    6.2600e-10;   640.520;                      1,1,1,3,3-Pentafluoropropane
  136;                 R32;  7b05bb60;   52.0240;   136.340;   4.80000e-05;   351.255;   5.78200;  424.0000;  0.276900;      42.94171;      27.72588;  289.6500;   0.40980;    1.9780;    1.2390;    1.9400e-10;    0.0496;    5.5829e-10;   526.883;                                   Difluoromethane
  137;             R365MFC;  9d316cb0;  148.0745;   239.000;   2.47800e-03;   460.000;   3.26600;  473.8385;  0.377000;     145.68716;     118.31005;  365.2800;   0.54900;    3.8070;    1.2390;    2.1800e-10;    0.0600;    6.6900e-10;   690.000;                       1,1,1,3,3-Pentafluorobutane
  138;                 R40;  2b938200;   50.4875;   175.510;   7.89000e-04;   416.300;   6.68990;  363.2190;  0.150000;      40.69192;      30.68317;  330.6000;   0.41900;    1.8710;    1.2390;    1.8000e-10;    0.0560;    5.0500e-10;   624.450;                                   Methyl chloride
  139;                 R41;  8ee31230;   34.0329;   129.820;   3.45000e-04;   317.280;   5.89700;  316.5062;  0.200400;      37.45341;      16.78496;  244.8800;   0.41230;    1.8510;    1.2390;    1.9400e-10;    0.0496;    5.0000e-10;   475.920;                                     Fluoromethane
  140;               RC318;  9e4d8e90;  200.0400;   233.350;   1.94610e-02;   388.380;   2.77750;  620.0000;  0.355300;     156.40076;     115.79494;  308.4100;   0.55490;    0.0000;    1.2390;    2.2200e-10;    0.0620;    6.7700e-10;   582.570;                             Octafluorocyclobutane
  141;              RE143A;  bf6c1a00;  100.0398;   240.000;   6.53500e-02;   377.921;   3.63500;  464.9991;  0.289000;      91.26837;      68.17772;  300.1040;   0.48470;    2.4800;    1.2390;    1.9800e-10;    0.0540;    5.8800e-10;   566.880;                      Methyl trifluoromethyl ether
  142;            RE245CB2;  82e9e4f0;  150.0473;   250.000;   2.76700e-02;   406.813;   2.88640;  499.5076;  0.354000;     136.51960;      95.62615;  621.0000;   0.87000;    2.7850;    1.2390;    2.1700e-10;    0.0570;    6.6000e-10;   610.200;                     Methyl-pentafluoroethyl-ether
  143;            RE245FA2;  a7275d70;  150.0473;   250.000;   8.27200e-03;   444.880;   3.43300;  515.0012;  0.387000;     135.42617;     105.34908;  353.2800;   0.53630;    1.6310;    1.2390;    2.1200e-10;    0.0610;    6.5300e-10;   667.320;         2,2,2-Trifluoroethyl-difluoromethyl-ether
  144;            RE347MCC;  12934ef0;  200.0548;   150.650;   5.70700e-08;   437.700;   2.47820;  528.1448;  0.403000;     180.42410;     131.10394;  347.5700;   0.58710;    3.1300;    1.2390;    2.3100e-10;    0.0580;    5.5530e-10;   656.550;        1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane
  145;                 SF6;  7a75e610;  146.0554;   223.555;   2.31429e-01;   318.723;   3.75498;  742.2975;  0.218000;      97.06708;      77.17290;  222.1000;   0.51280;    0.0000;    1.2415;    1.9000e-10;    0.0520;    3.5000e-10;   478.080;                               Sulfur hexafluoride
  146;                 SO2;  7fad4b80;   64.0638;   197.700;   1.66610e-03;   430.640;   7.88660;  517.5074;  0.256000;      39.88896;      15.15942;  363.0000;   0.40260;    1.6000;    1.2390;    1.6700e-10;    0.0590;    4.8500e-10;   645.960;                                    Sulfur dioxide
  147;            T2BUTENE;  b28337f0;   56.1063;   167.600;   7.48100e-05;   428.610;   4.02730;  236.3759;  0.210000;      87.43529;      89.66140;  259.0000;   0.55080;    0.0000;    1.2390;    2.1000e-10;    0.0570;    6.0900e-10;   642.920;                                    trans-2-Butene
  148;             TOLUENE;  a49b8b50;   92.1384;   178.000;   3.93900e-08;   591.750;   4.12630;  291.9867;  0.265700;     103.79123;     186.96068;  469.9000;   0.55070;    0.3600;    1.2390;    2.2000e-10;    0.0500;    6.2000e-10;   887.625;                                     Methylbenzene
  149;       VINYLCHLORIDE;  0b34bc40;   62.4982;   119.310;   6.49000e-08;   424.964;   5.59030;  351.2400;  0.161000;      53.63243;      47.63897;  337.4600;   0.45500;    1.4510;    1.2390;    1.9500e-10;    0.0590;    5.5100e-10;   637.450;                                    Chloroethylene
  150;               WATER;  b43a7600;   18.0153;   273.160;   6.12480e-04;   647.096;  22.06400;  322.0000;  0.344300;      33.58733;       5.95116;  809.1000;   0.26410;    1.8550;    1.2390;    1.3000e-10;    0.0600;    4.0000e-10;   970.644;                                             Water
  151;               XENON;  71fd7fa0;  131.2930;   161.405;   8.17700e-02;   289.733;   5.84200; 1102.8612;  0.003630;      20.78615;      -0.00000;  300.0000;   0.32970;    0.0000;    1.2390;    1.8200e-10;    0.0580;    4.7900e-10;   434.599;                                             Xenon
