 num;                                                              Material;     source;       CAS ID;  MM_gmol;     Tc/K;      Pc/MPa;  Dc/kgm3;  Acentric; k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm
 103;                                                       2-chloroethanol;    ChemSep;     107-07-3;  80.5135;  585.000;    5.920000;  379.781;  0.657799;      0.00000;      0.00000;      0.00000;  0.00000
 104;                                                       2-ethoxyethanol;    ChemSep;     110-80-5;  90.1210;  569.000;    4.240000;  306.534;  0.758177;      0.00000;      0.00000;      0.00000;  0.00000
 105;                                                           2-heptanone;    ChemSep;     110-43-0; 114.1855;  611.550;    2.920000;  271.224;  0.418982;      0.00000;      0.00000;      0.00000;  0.00000
 106;                                                            2-hexanone;    ChemSep;     591-78-6; 100.1589;  587.000;    3.320000;  264.971;  0.393000;      0.00000;      0.00000;      0.00000;  0.00000
 107;                                                    2-methyl-1-butanol;    ChemSep;     137-32-6;  88.1482;  575.400;    3.940000;  267.928;  0.587733;      0.00000;      0.00000;      0.00000;  0.00000
 108;                                                     2-methyl-1-butene;    ChemSep;     563-46-2;  70.1329;  465.000;    3.447000;  240.181;  0.234056;      0.00000;      0.00000;      0.00000;  0.00000
 109;                                                    2-methyl-1-heptene;    ChemSep;   15870-10-7; 112.2126;  564.000;    2.400000;  225.780;  0.355130;      0.00000;      0.00000;      0.00000;  0.00000
 110;                                                 2-methyl-1-nonadecene;    ChemSep;   52254-50-9; 280.5316;  758.139;    1.048269;  248.320;  0.879882;      0.00000;      0.00000;      0.00000;  0.00000
 111;                                                     2-methyl-1-nonene;    ChemSep;    2980-71-4; 140.2658;  620.915;    2.100212;  245.168;  0.395287;      0.00000;      0.00000;      0.00000;  0.00000
 112;                                                    2-methyl-1-pentene;    ChemSep;     763-29-1;  84.1595;  507.000;    3.160000;  234.428;  0.261138;      0.00000;      0.00000;      0.00000;  0.00000
 113;                                                   2-methyl-1-propanol;    ChemSep;      78-83-1;  74.1216;  547.780;    4.300000;  271.508;  0.590000;      0.00000;      0.00000;      0.00000;  0.00000
 114;                                                  2-methyl-1-tridecene;    ChemSep;   18094-01-4; 196.3721;  688.623;    1.530101;  246.959;  0.642577;      0.00000;      0.00000;      0.00000;  0.00000
 115;                                                   2-methyl-1-undecene;    ChemSep;   18516-37-5; 168.3190;  657.914;    1.778664;  246.210;  0.512534;      0.00000;      0.00000;      0.00000;  0.00000
 116;                                                    2-methyl-2-butanol;    ChemSep;      75-85-4;  88.1482;  545.000;    3.790000;  272.905;  0.478000;      0.00000;      0.00000;      0.00000;  0.00000
 117;                                                     2-methyl-2-butene;    ChemSep;     513-35-9;  70.1329;  470.000;    3.860000;  240.181;  0.339000;      0.00000;      0.00000;      0.00000;  0.00000
 118;                                                   2-methyl-2-heptanol;    ChemSep;     625-25-2; 130.2279;  636.653;    2.716180;  269.936;  0.723562;      0.00000;      0.00000;      0.00000;  0.00000
 119;                                                   2-methyl-2-propanol;    ChemSep;      75-65-0;  74.1216;  506.210;    3.973000;  269.533;  0.613000;      0.00000;      0.00000;      0.00000;  0.00000
 120;                                               2-methyl-3-ethylpentane;    ChemSep;     609-26-7; 114.2285;  567.000;    2.700000;  256.520;  0.331000;      0.00000;      0.00000;      0.00000;  0.00000
